email,id,category,source,status,detail
1b03c8dc-51b4-4408-abcc-fc3dbded4832@offline-members-wix.com,2,REMOVE,remove-all.csv,deleted,"Deleted by email"
bdee6a67-60f2-4060-a5c2-0fa78f43756c@offline-members-wix.com,212,REMOVE,remove-all.csv,deleted,"Deleted by email"
dd6b24ff-ed24-4ef4-8793-b77ac31adc5a@offline-members-wix.com,438,REMOVE,remove-all.csv,deleted,"Deleted by email"
,996,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1024,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1075,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1084,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1088,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1131,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1153,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1157,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1249,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1352,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1377,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1380,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1382,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1387,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,1591,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
webmaster@brooklynartscouncil.org,2202,REMOVE,remove-all.csv,deleted,"Deleted by email"
,2732,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,2820,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,2823,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,2824,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,2829,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,2831,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,2832,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
,2863,REMOVE,remove-all.csv,deleted,"Deleted by contact id"
2ec38114-3333-4c27-906c-ed84a62985c8@offline-members-wix.com,6947,REMOVE,remove-all.csv,deleted,"Deleted by email"
43991d39-e3e5-4e4c-9c5d-29b5e5c65b94@offline-members-wix.com,6949,REMOVE,remove-all.csv,deleted,"Deleted by email"
meetings-noreply@google.com,6974,REMOVE,remove-all.csv,deleted,"Deleted by email"
aarp@email.aarp.org,6983,REMOVE,remove-all.csv,deleted,"Deleted by email"
member@notice.alibaba.com,6984,REMOVE,remove-all.csv,deleted,"Deleted by email"
messages-noreply@linkedin.com,7012,REMOVE,remove-all.csv,deleted,"Deleted by email"
microsoft-noreply@microsoft.com,7094,REMOVE,remove-all.csv,deleted,"Deleted by email"
ads-noreply@google.com,7103,REMOVE,remove-all.csv,deleted,"Deleted by email"
ae_ukg31m3lzo1759576460@mailgun.waiverforever.com,7107,REMOVE,remove-all.csv,deleted,"Deleted by email"
alerts@mail.libcal.com,7227,REMOVE,remove-all.csv,deleted,"Deleted by email"
alerts@mail.zapier.com,7229,REMOVE,remove-all.csv,deleted,"Deleted by email"
aliciaforassemby@42813393.mailchimpapp.com,7249,REMOVE,remove-all.csv,deleted,"Deleted by email"
alisourcepro@service.alibaba.com,7253,REMOVE,remove-all.csv,deleted,"Deleted by email"
alumni@updates.juilliard.edu,7275,REMOVE,remove-all.csv,deleted,"Deleted by email"
announcements@e.techsoup.org,7365,REMOVE,remove-all.csv,deleted,"Deleted by email"
news@notice.alibaba.com,7468,REMOVE,remove-all.csv,deleted,"Deleted by email"
news@send.zapier.com,7470,REMOVE,remove-all.csv,deleted,"Deleted by email"
newsletter@em.repurpose.io,7474,REMOVE,remove-all.csv,deleted,"Deleted by email"
newsletter@marketing.descript.com,7476,REMOVE,remove-all.csv,deleted,"Deleted by email"
