Harmony 4 All - Blog Metrics Report 2025

SUMMARY METRICS
Metric,Value
Total Blogs,260
Published Blogs,260
Draft Blogs,0
Featured Blogs,2
Total Views,7497
Total Likes,29
Total Shares,1
Total Comments,0
Average Views per Blog,28.83
Average Likes per Blog,0.11
Average Shares per Blog,0.00
Average Comments per Blog,0.00

CATEGORY BREAKDOWN
Category,Blog Count,Total Views,Total Likes,Total Shares
Uncategorized,260,7497,29,1

WRITER PERFORMANCE
Writer Name,Total Blogs,Published Blogs,Total Views,Total Likes,Total Shares
Arifur Rahman,63,63,1990,1,0
Bianca Quaddus,67,67,1855,13,0
Joshua Quaddus,107,107,3223,15,0
Harmony 4 All,23,23,429,0,1

MONTHLY BREAKDOWN
Month,Total Blogs,Published Blogs,Total Views,Total Likes,Total Shares
2025-10,18,18,332,0,0
2025-11,17,17,329,0,0
2025-12,8,8,133,0,0
2025-01,0,0,0,0,0
2025-02,0,0,0,0,0
2025-03,0,0,0,0,0
2025-04,0,0,0,0,0
2025-05,0,0,0,0,0
2025-06,0,0,0,0,0
2025-07,0,0,0,0,0
2025-08,193,193,6446,29,0
2025-09,24,24,257,0,1

INDIVIDUAL BLOG DETAILS
Title,Status,Category,Writer,Views,Likes,Shares,Comments Count,Created Date,Published Date,Is Featured
"Punk Rock and the Rebellion Against the System","published","Uncategorized","Arifur Rahman",42,0,0,0,"2025-08-20","2025-04-11",false
"Youssou N'Dour - An indomitable protagonist of the postcolonial era","published","Uncategorized","Arifur Rahman",15,0,0,0,"2025-08-20","2024-11-08",false
"Protest Music In Folk Tradition: From Bob Dylan To Modern Activists","published","Uncategorized","Arifur Rahman",43,0,0,0,"2025-08-20","2025-07-18",false
"Sagar Veena and A Lone Performer","published","Uncategorized","Arifur Rahman",16,0,0,0,"2025-08-20","2025-08-15",false
"Archie Roach: A Guiding Light for Stolen Generations","published","Uncategorized","Arifur Rahman",28,0,0,0,"2025-08-20","2025-03-28",false
"Story of Empowerment and Expression Through Feminist Anthems in Pop Music","published","Uncategorized","Arifur Rahman",27,0,0,0,"2025-08-20","2025-07-11",false
"Echoes of Balochistan: Ustad Noor Bakhsh and His Enduring Art","published","Uncategorized","Arifur Rahman",26,0,0,0,"2025-08-20","2024-10-11",false
"Japan's Last Goze: Haru Kobayashi","published","Uncategorized","Arifur Rahman",20,1,0,0,"2025-08-20","2024-10-18",false
"Hip-Hop: A Modern Soundtrack to Black Struggle","published","Uncategorized","Arifur Rahman",48,0,0,0,"2025-08-20","2025-02-21",false
"The Soulful Voyager: Exploring Dhafer Youssef’s Life and Music","published","Uncategorized","Arifur Rahman",24,0,0,0,"2025-08-20","2025-01-17",false
"Bengal Delta: Folksongs & Identity","published","Uncategorized","Arifur Rahman",44,0,0,0,"2025-08-20","2025-04-25",false
"Oliver Mtukudzi - Icon of Zimbabwean musical and cultural rejuvenation","published","Uncategorized","Arifur Rahman",85,0,0,0,"2025-08-20","2024-10-04",false
"Underground Voices: Musicians in Conservative Societies","published","Uncategorized","Arifur Rahman",4,0,0,0,"2025-08-20","2025-06-13",false
"Wladyslaw Szpilman: Who Survived the Holocaust Through Music","published","Uncategorized","Arifur Rahman",30,0,0,0,"2025-08-20","2024-09-06",false
"Angélique Kidjo: The Voice of Gender Equality and African Music","published","Uncategorized","Arifur Rahman",30,0,0,0,"2025-08-20","2024-09-20",false
"The Beat of Uprising: Protest Music in the Arab Spring","published","Uncategorized","Arifur Rahman",19,0,0,0,"2025-08-20","2025-08-01",false
"Silence, Bombs, And The Birth Of A New Song","published","Uncategorized","Arifur Rahman",21,0,0,0,"2025-08-20","2025-06-27",false
"From Street Corners to Streaming Charts: The Buskers Who Made It","published","Uncategorized","Arifur Rahman",54,0,0,0,"2025-08-20","2025-05-23",false
"U. Srinivas - the Mozart of Classical Indian Music","published","Uncategorized","Arifur Rahman",29,0,0,0,"2025-08-20","2024-12-06",false
"Pinochet Boys—Shaping a Nation Under Military Regime","published","Uncategorized","Arifur Rahman",54,0,0,0,"2025-08-20","2025-05-16",false
"Behind the Beat: On the Systemic Racism in the Music Industry","published","Uncategorized","Arifur Rahman",59,0,0,0,"2025-08-20","2025-02-14",false
"Rebirth of Mugham: Alim Qasimov","published","Uncategorized","Arifur Rahman",17,0,0,0,"2025-08-20","2024-11-15",false
"Icon Of Raï And A Cross-Cultural Bridge: Cheb Khaled","published","Uncategorized","Arifur Rahman",21,0,0,0,"2025-08-20","2024-09-13",false
"Being an Artist In The 21st Century: Is It Still Worth It?","published","Uncategorized","Arifur Rahman",54,0,0,0,"2025-08-20","2025-06-06",false
"Umm Kulthūm - the Star of Egypt’s Golden Age","published","Uncategorized","Arifur Rahman",72,0,0,0,"2025-08-20","2024-12-14",false
"Maria Grever: A Pioneer in Latin American Music History","published","Uncategorized","Arifur Rahman",79,0,0,0,"2025-08-20","2024-08-16",false
"Blues, Jazz, and the Roots of Black Resistance","published","Uncategorized","Arifur Rahman",19,0,0,0,"2025-08-20","2025-01-31",false
"Voices Behind the Bars: Music from Prisons and Political Prisoners","published","Uncategorized","Arifur Rahman",19,0,0,0,"2025-08-20","2025-08-08",false
"What Protest Music Means To Gen Z in 2025","published","Uncategorized","Arifur Rahman",31,0,0,0,"2025-08-20","2025-07-04",false
"Melody of the Thar: Into Manganiar Musical Traditions","published","Uncategorized","Arifur Rahman",17,0,0,0,"2025-08-20","2025-05-09",false
"The Madonna of the Townships: Brenda Fassie's Musical Legacy","published","Uncategorized","Arifur Rahman",21,0,0,0,"2025-08-20","2024-11-29",false
"The Madonna of the Townships: Brenda Fassie's Musical Legacy","published","Uncategorized","Arifur Rahman",3,0,0,0,"2025-08-20","2024-10-25",false
"Toumani Diabaté: The Maestro of the Kora","published","Uncategorized","Arifur Rahman",56,0,0,0,"2025-08-20","2025-04-18",false
"Songs Behind Silence: Musicians in Exile","published","Uncategorized","Arifur Rahman",84,0,0,0,"2025-08-20","2025-05-30",false
"Echoes of Heritage: The Intersection of Black Music and Black Identity","published","Uncategorized","Arifur Rahman",25,0,0,0,"2025-08-20","2025-02-07",false
"Schoenberg's 'A Survivor from Warsaw'","published","Uncategorized","Bianca Quaddus",4,0,0,0,"2025-08-20","2023-11-05",false
"Heitor Villa-Lobos: A Portrait of a Visionary Composer","published","Uncategorized","Bianca Quaddus",14,0,0,0,"2025-08-20","2024-06-10",false
"Penderecki’s Threnody: An Echo of Hiroshima's Sorrow","published","Uncategorized","Bianca Quaddus",84,0,0,0,"2025-08-20","2024-09-09",false
"Michi Wiancko and the Art of Expanding the Frame","published","Uncategorized","Bianca Quaddus",61,0,0,0,"2025-08-20","2025-06-09",false
"Harmony 4 All Rings in the New Year: A Symphony of Hope and Resilience","published","Uncategorized","Bianca Quaddus",11,0,0,0,"2025-08-20","2024-01-01",false
"Hugh Masekela: The Sound Of Jazz & Liberation","published","Uncategorized","Arifur Rahman",16,0,0,0,"2025-08-20","2024-07-20",false
"Sufism in Bengali Music: Lalon’s Journey to Social and Political Reformation","published","Uncategorized","Arifur Rahman",17,0,0,0,"2025-08-20","2025-07-25",false
"Elena Urioste: Virtuosity and Well-Being in Harmony	","published","Uncategorized","Bianca Quaddus",31,0,0,0,"2025-08-20","2025-03-10",false
"Drums of Defiance: The Djembe’s Role in West Africa’s Fight for Freedom","published","Uncategorized","Arifur Rahman",51,0,0,0,"2025-08-20","2025-04-04",false
"The Invisible Composers: Canon Formation and the Limits of Tradition","published","Uncategorized","Bianca Quaddus",80,0,0,0,"2025-08-20","2025-04-28",false
"Louis W. Ballard and the Place of Native Identity in American Composition","published","Uncategorized","Bianca Quaddus",23,0,0,0,"2025-08-20","2025-07-28",false
"Julia Perry and the Fierce Intellect of Sound","published","Uncategorized","Bianca Quaddus",58,0,0,0,"2025-08-20","2025-05-05",false
"King Sunny Adé: From Nigerian Roots to Global Fame","published","Uncategorized","Arifur Rahman",27,0,0,0,"2025-08-20","2025-01-04",false
"Remembering the King of Kazakh Waltz: Shamshi Kaidayakov","published","Uncategorized","Arifur Rahman",22,0,0,0,"2025-08-20","2024-12-27",false
"Shah Abdul Karim: Melody of Love, Spirituality, and Unity","published","Uncategorized","Arifur Rahman",6,0,0,0,"2025-08-20","2025-01-10",false
"The Catalyst Quartet: Reimagining Classical Music with Purpose","published","Uncategorized","Bianca Quaddus",36,0,0,0,"2025-08-20","2025-03-17",false
"Schoenberg's 'A Survivor from Warsaw'","published","Uncategorized","Bianca Quaddus",30,0,0,0,"2025-08-20","2024-05-27",false
"Busi Mhlongo: Voice of Spirituality, Healing and Resistance","published","Uncategorized","Arifur Rahman",31,0,0,0,"2025-08-20","2025-03-14",false
"The Life and Legacy of Samuel Coleridge-Taylor ","published","Uncategorized","Bianca Quaddus",22,2,0,0,"2025-08-20","2023-07-24",false
"Ganbaataryn Khongorzul - The Mongolian Songbird","published","Uncategorized","Arifur Rahman",18,0,0,0,"2025-08-20","2025-03-06",false
"The Rebel with a Cause: Thomas Mapfumo","published","Uncategorized","Arifur Rahman",21,0,0,0,"2025-08-20","2024-11-22",false
"Penderecki's Threnody for the Victims of Hiroshima","published","Uncategorized","Bianca Quaddus",16,0,0,0,"2025-08-20","2023-10-22",false
"Still and Steady: The Radical Grace of Composer Zenobia Powell Perry","published","Uncategorized","Bianca Quaddus",21,0,0,0,"2025-08-20","2025-06-02",false
"Blues, Jazz, and the Roots of Black Resistance","published","Uncategorized","Arifur Rahman",46,0,0,0,"2025-08-20","2025-02-28",false
"Kazi Nazrul Islam and the Forgotten Ragascape of a Rebel Poet","published","Uncategorized","Bianca Quaddus",52,0,0,0,"2025-08-20","2025-08-11",false
"Iwan Fals — The Great Javanese Hero","published","Uncategorized","Arifur Rahman",145,0,0,1,"2025-08-20","2025-05-02",false
"Lucky Dube: Resistance and Reggae","published","Uncategorized","Arifur Rahman",57,0,0,0,"2025-08-20","2025-03-21",false
"Ali Ekber Çiçek and the Orchestration of Alevi Tradition","published","Uncategorized","Bianca Quaddus",35,0,0,0,"2025-08-20","2025-08-04",false
"Fela Kuti: Pioneer of Afrobeat and Nigerian Voice of Resistance","published","Uncategorized","Arifur Rahman",30,0,0,0,"2025-08-20","2024-07-26",false
"William Grant Still's Afro-American Symphony Resonates Anew","published","Uncategorized","Bianca Quaddus",1,0,0,0,"2025-08-20","2023-08-21",false
"Legacy of the Boulanger Sisters","published","Uncategorized","Bianca Quaddus",9,0,0,0,"2025-08-20","2024-09-16",false
"Teresa Carreño: Virtuosity, Exile, and the Making of Modern Artist","published","Uncategorized","Bianca Quaddus",19,0,0,0,"2025-08-20","2025-06-23",false
" Exploration of Anthony Davis's Musical Tapestry","published","Uncategorized","Bianca Quaddus",11,0,0,0,"2025-08-20","2023-11-26",false
"Margaret Bonds and the Architecture of American Sound","published","Uncategorized","Bianca Quaddus",12,0,0,0,"2025-08-20","2025-04-07",false
"Modesta Bor and the Sound of Defiance","published","Uncategorized","Bianca Quaddus",16,0,0,0,"2025-08-20","2025-07-21",false
"Takemitsu's Legacy: 'Requiem for String Orchestra' and the Activist Spirit in Classical Music","published","Uncategorized","Bianca Quaddus",21,1,0,0,"2025-08-20","2023-09-04",false
"Japan's Last Goze: Haru Kobayashi","published","Uncategorized","Arifur Rahman",0,0,0,0,"2025-08-20","2025-01-25",false
"Idir - The Poet of the Mountains","published","Uncategorized","Arifur Rahman",15,0,0,0,"2025-08-20","2024-11-01",false
"The Mendelssohn in the Shadows","published","Uncategorized","Bianca Quaddus",3,0,0,0,"2025-08-20","2024-06-02",false
"An Introduction to Ravi Shankar's Symphony Raga-Mala","published","Uncategorized","Bianca Quaddus",16,1,0,0,"2025-08-20","2023-08-28",false
"Kurt Rosenwinkel: The Quiet Architect of Modern Jazz","published","Uncategorized","Joshua Quaddus",44,0,0,0,"2025-08-20","2024-12-11",false
"Chevalier de Saint-Georges: Music's Unsung Virtuoso","published","Uncategorized","Bianca Quaddus",22,0,0,0,"2025-08-20","2025-02-03",false
"Immanuel Wilkins Prepares to Release New Album Blues Blood, A Bold Exploration of History and Identity","published","Uncategorized","Joshua Quaddus",1,0,0,0,"2025-08-20","2024-10-10",false
"The Heartbeat of Jazz: Remembering Al Foster, Rhythmic Anchor to Miles Davis and Generations of Greats","published","Uncategorized","Joshua Quaddus",69,0,0,0,"2025-08-20","2025-06-04",false
"Jazz Maestro Gary Bartz's ""I've Known Rivers and Other Bodies"" Resonates with Timeless Harmony","published","Uncategorized","Joshua Quaddus",23,0,0,0,"2025-08-20","2024-05-07",false
"A Love Supreme, Coltrane: The 32-Minute Work That Pushed The Human Condition Forward","published","Uncategorized","Joshua Quaddus",24,0,0,0,"2025-08-20","2024-10-02",false
"How ""Giant Steps"" by John Coltrane Reshaped the Sound of Jazz Forever","published","Uncategorized","Joshua Quaddus",13,1,0,0,"2025-08-20","2023-08-07",false
"Bunky Green: The Unsung Innovator of Jazz Saxophone","published","Uncategorized","Joshua Quaddus",30,0,0,0,"2025-08-20","2025-03-05",false
"Max Roach's ""Freedom Suite"": A Jazz Masterpiece that Transcends Time","published","Uncategorized","Joshua Quaddus",9,0,0,0,"2025-08-20","2023-11-26",false
"Dvořák's ""New World"" Symphony and Its Native and African American Influences","published","Uncategorized","Bianca Quaddus",34,1,0,0,"2025-08-20","2023-08-07",false
"The Career of Maestro Gustavo Dudamel ","published","Uncategorized","Bianca Quaddus",23,0,0,0,"2025-08-20","2024-02-12",false
"Scott Joplin: The King of Ragtime and the American Dream in Syncopation","published","Uncategorized","Bianca Quaddus",42,0,0,0,"2025-08-20","2025-02-24",false
"A Profile of Dmitri Shostakovich","published","Uncategorized","Bianca Quaddus",25,2,0,0,"2025-08-20","2023-07-31",false
